Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2016-032,(6) Complete,Garden Court Apartments,1637,15th ,St,94103,Not Applicable,9,Mission,Mission,MOHCD,Multifamily,0,Rehabilitation,Rental,06/30/2017,02/14/2018,,06/30/2017,09/28/2018,Mission Housing Development Corporation,,Mission Housing Development Corporation,,Not Applicable,,,,,,,16,16,0,100,0,10,6,0,0,0,0,0,0,,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,37.766396478,-122.420446080999,"(37.766396478, -122.420446080999)"
2016-033,(6) Complete,3434 18th ,3434,18th,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Multifamily,0,Rehabilitation,Rental,07/15/2017,02/14/2018,,07/15/2017,09/24/2018,Mission Housing Development Corporation,,Mission Housing Development Corporation,,Not Applicable,,,,,,,8,8,0,100,0,6,2,0,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,37.761987171,-122.420268769999,"(37.761987171, -122.420268769999)"
2016-034,(6) Complete,70-74 Moss,70-74,Moss,St,94103,Not Applicable,6,South of Market,South of Market,MOHCD,Multifamily,0,Rehabilitation,Rental,07/31/2018,,,07/31/2018,05/30/2018,Mission Housing Development Corporation,,Mission Housing Development Corporation,,Not Applicable,,,,,,,5,5,0,100,0,0,4,0,1,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,37.777465821,-122.407949823999,"(37.777465821, -122.407949823999)"
2016-035,(4) Site Work Permit Issued,2943-2947 16th,2943-2947 ,16th ,St,94103,Not Applicable,9,Mission,Mission,MOHCD,Multifamily,0,Rehabilitation,Rental,06/12/2018,,,06/12/2018,11/12/2018,Mission Housing Development Corporation,,Mission Housing Development Corporation,,Not Applicable,,,,,,,8,8,0,100,0,0,8,0,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,37.76489458,-122.418484674999,"(37.76489458, -122.418484674999)"
2016-036,(4) Site Work Permit Issued,Dudley Apartments,172,6th ,St,94103,Not Applicable,6,South of Market,South of Market,MOHCD,Multifamily,0,Rehabilitation,Rental,09/05/2018,,,09/05/2018,10/30/2018,Mercy Housing California,,"Mercy Housing California XXII, LP",,Not Applicable,,,,,,,75,74,1,99,25,25,24,0,0,0,0,2,1,1bd,74,0,0,25,0,0,0,0,0,74,0,0,0,0,0,0,0,37.779830995,-122.407795168999,"(37.779830995, -122.407795168999)"
2016-038,(2) Predevelopment Feasibility,Washburn Hotel,42,Washburn,St,94103,Not Applicable,6,South of Market,South of Market,MOHCD,Multifamily,0,Rehabilitation,Rental,07/01/2018,,,07/01/2018,10/15/2018,Conard House,,Conard House Development Corp,,Not Applicable,,,,,,,22,22,0,100,22,0,0,0,0,0,0,6,0,,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,37.775282514,-122.414590425999,"(37.775282514, -122.414590425999)"
2016-039,(2) Predevelopment Feasibility,El Dorado,150,9th,St,94103,Not Applicable,6,South of Market,South of Market,MOHCD,Multifamily,0,Rehabilitation,Rental,07/01/2018,,,07/01/2018,10/15/2018,Conard House,,Conard House Development Corp,,Not Applicable,,,,,,,57,57,0,100,57,0,0,0,0,0,0,0,0,,47,0,0,10,0,0,0,0,0,0,0,0,57,0,0,0,0,37.77536957,-122.414112965999,"(37.77536957, -122.414112965999)"
2016-040,(2) Predevelopment Feasibility,Hazel Betsey Apts,3554,17th,St,94110,Not Applicable,8,Mission,Mission,MOHCD,Multifamily,0,Rehabilitation,Rental,06/15/2017,,,06/15/2017,09/15/2019,Bernal Heights Housing Corporation,,Bernal Heights Housing Corporation,,Not Applicable,,,,,,,9,9,0,100,0,6,3,0,0,0,0,3,0,,9,0,0,0,,0,0,0,0,9,0,0,0,0,0,0,0,37.763338877,-122.425127888999,"(37.763338877, -122.425127888999)"
2016-041,(2) Predevelopment Feasibility,Haight  Street Apartments,398,Haight,St,94102,Not Applicable,5,Western Addition,Hayes Valley,MOHCD,Multifamily,0,Rehabilitation,Rental,05/15/2017,,,05/15/2017,09/15/2019,Tenderloin Neighborhood Development Corporation,,Tenderloin Neighborhood Development Corporation,,Not Applicable,,,,,,,12,7,5,58,0,0,5,2,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,37.772532389,-122.428616704999,"(37.772532389, -122.428616704999)"
2016-042,(4) Site Work Permit Issued,Dalt Hotel,34,Turk,St,94102,Not Applicable,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,Rehabilitation,Rental,04/16/2018,,,04/16/2018,05/17/2018,Tenderloin Neighborhood Development Corporation,,Dalt Hotel LP,,Not Applicable,,,,,,,178,178,0,100,178,0,0,0,0,0,0,24,1,SRO,178,0,0,1,0,0,0,0,0,178,0,0,0,0,0,0,0,37.783612634,-122.409886357999,"(37.783612634, -122.409886357999)"
2016-043,(4) Site Work Permit Issued,2782-2786 24th,2782-2786,24th,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Multifamily,0,Rehabilitation,Rental,09/01/2018,07/13/2018,,09/01/2018,12/01/2018,Mission Housing Development Corporation,,Mission Housing Development Corporation,,Not Applicable,,,,,,,3,3,0,100,0,0,1,0,2,0,0,0,0,,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,37.753101704,-122.407891868999,"(37.753101704, -122.407891868999)"
2016-044,(6) Complete,890-896 Capp,890-896,Capp,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Multifamily,0,Rehabilitation,Rental,06/30/2017,,,06/30/2017,05/23/2018,Mission Housing Development Corporation,,Mission Housing Development Corporation,,Not Applicable,,,,,,,4,4,0,100,0,0,1,2,1,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,37.752454061,-122.417563393999,"(37.752454061, -122.417563393999)"
2016-056,(3) Design with Entitlements Approved,3182-3198 24th,3182-3198,24th ,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,06/01/2018,,,06/01/2018,02/01/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,8,8,0,100,0,4,2,0,2,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,37.752517381,-122.415969976999,"(37.752517381, -122.415969976999)"
2016-057,(1) Preliminary Phase,101 Hyde,101,Hyde,St,94102,Planning address not yet assigned,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Yet Available,,,,,,,85,84,1,99,0,0,0,0,0,0,0,0,1,,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.781803737,-122.415896547999,"(37.781803737, -122.415896547999)"
2016-065,(2) Predevelopment Feasibility,"HPSY I, Block 52 & 54",151,Friedell,St,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,HP Shipyard Phase 1,New Construction,Rental,07/01/2019,,,07/01/2019,12/01/2020,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,100,99,1,99,0,0,0,0,0,0,0,0,1,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.728123041,-122.369768280999,"(37.728123041, -122.369768280999)"
2016-068,(2) Predevelopment Feasibility,4840 Mission,4840,Mission ,St,94112,4840 MISSION ST 94112,11,Outer Mission,Outer Mission,MOHCD,Multifamily,0,New Construction,Rental,06/30/2019,,,01/01/2022,12/31/2020,BRIDGE Housing Corporation,,"4840 Mission Housing Associates, L.P.",,2016-012545PRJ,http://propertymap.sfplanning.org/?search=2016-012545PRJ,"2016-012545ENV,2016-012545PPA,2016-012545PRV",,,,,114,113,1,99,0,7,50,46,10,0,0,8,1,3bd,113,0,0,23,0,0,0,0,32,3,0,78,0,0,0,0,0,37.720693195,-122.438500005999,"(37.720693195, -122.438500005999)"
2016-070,(2) Predevelopment Feasibility,500 Turk,500,Turk,St,94102,Planning address not yet assigned,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,New Construction,Rental,10/15/2018,,,10/15/2018,03/01/2022,Tenderloin Neighborhood Development Corporation,,"Turk 500 Associates, L.P.",,Not Yet Available,,,,,,,122,121,1,99,0,28,65,28,0,0,0,5,1,Studio,96,0,0,25,0,0,0,0,0,74,0,47,0,0,0,0,0,37.782616502,-122.417748284999,"(37.782616502, -122.417748284999)"
2016-071,(4) Site Work Permit Issued,1990 Folsom,1990,Folsom,St,94103,Planning address not yet assigned,9,Mission,Mission,MOHCD,Multifamily,0,New Construction,Rental,06/01/2019,08/31/2018,,06/01/2019,05/01/2021,Tenderloin Neighborhood Development Corporation,Mission Economic Development Agency,"1990 Folsom Housing Associates, L.P.",,Not Yet Available,,,,,,,143,142,1,99,0,23,48,60,11,0,0,15,1,2bd,142,0,0,0,0,29,0,0,0,72,0,55,0,0,0,0,0,37.765552369,-122.415898802999,"(37.765552369, -122.415898802999)"
2016-074,(2) Predevelopment Feasibility,Mission Bay South 6 West,600-700,Mission Bay Blvd North,0,94158,Not Applicable,6,South of Market,Mission Bay,OCII,Multifamily,Mission Bay,New Construction,Rental,01/15/2019,,,01/15/2019,01/15/2021,Mercy Housing California,,Mercy Housing California 78 L.P.,,Not Applicable,,,,,,,152,151,1,99,0,10,34,76,29,1,1,0,1,2bd,151,0,0,0,0,0,35,0,0,33,0,46,37,0,0,0,0,37.771359376,-122.392478436999,"(37.771359376, -122.392478436999)"
2016-075,(6) Complete,3329-3331 20th,3329-3331,20th ,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,11/02/2017,,,11/02/2017,05/01/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,10,10,0,100,0,4,6,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,37.758634976,-122.415386597999,"(37.758634976, -122.415386597999)"
2016-080,(2) Predevelopment Feasibility,681 Florida (2070 Bryant),681,Florida,St,94110,Planning address not yet assigned,9,Mission,Mission,MOHCD,Multifamily,0,New Construction,Rental,05/01/2019,,,05/01/2019,07/01/2020,Tenderloin Neighborhood Development Corporation,Mission Economic Development Agency,681 Florida L.P.,,Not Yet Available,,,,,,,130,129,1,99,0,44,30,41,14,0,0,0,1,1bd,89,0,0,40,0,40,0,0,0,72,0,42,0,0,0,0,0,37.761040613,-122.410547142999,"(37.761040613, -122.410547142999)"
2016-085,(1) Preliminary Phase,Mission Bay South Block 9,410,China Basin,St,94158,Not Applicable,6,South of Market,Mission Bay,OCII,Multifamily,Mission Bay,New Construction,Rental,05/01/2018,,,05/01/2018,12/15/2019,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,141,140,1,99,0,140,0,0,0,0,0,0,1,1bd,0,0,0,140,0,140,0,0,0,140,0,0,0,0,0,0,0,37.77254133,-122.388323222999,"(37.77254133, -122.388323222999)"
2016-088,(1) Preliminary Phase,Transbay Block 2 West,,Address not yet assigned,,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Multifamily,Transbay,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,78,77,1,99,0,0,0,0,0,0,0,0,1,,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.789126625,-122.392752326999,"(37.789126625, -122.392752326999)"
2016-089,(1) Preliminary Phase,Transbay Block 2 East,,Address not yet assigned,,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Multifamily,Transbay,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,169,167,2,99,0,0,0,0,0,0,0,0,2,,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.789400591,-122.392406380999,"(37.789400591, -122.392406380999)"
2016-090,(1) Preliminary Phase,Mission Bay South 4 East,,Address not yet assigned,,94158,Not Applicable,6,South of Market,Mission Bay,OCII,Multifamily,Mission Bay,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,101,100,1,99,0,0,0,0,0,0,0,0,1,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.772435003,-122.390088704999,"(37.772435003, -122.390088704999)"
2016-091,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 1)",755,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,HP Shipyard Phase 1,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,39,38,1,97,0,0,0,0,0,0,0,0,1,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.727821721,-122.374357145999,"(37.727821721, -122.374357145999)"
2016-092,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 2)",996,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,HP Shipyard Phase 1,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,46,45,1,98,0,0,0,0,0,0,0,0,1,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.728384002,-122.378258735999,"(37.728384002, -122.378258735999)"
2016-093,(1) Preliminary Phase,Mission Bay South Block 9A,,Address not yet assigned,,94158,Not Applicable,6,South of Market,Mission Bay,OCII,Multifamily,Mission Bay,New Construction,Ownership,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,63,62,1,98,0,0,0,0,0,0,0,0,1,,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.772584844,-122.387600687999,"(37.772584844, -122.387600687999)"
2016-094,(1) Preliminary Phase,Mission Bay South Block 12 West,,Address not yet assigned,,94158,Not Applicable,6,South of Market,Mission Bay,OCII,Multifamily,Mission Bay,New Construction,Rental,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,149,148,1,99,0,0,0,0,0,0,0,0,1,,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.771045694,-122.395107363999,"(37.771045694, -122.395107363999)"
2016-095,(1) Preliminary Phase,"HPSY I, Block 56",11,Innes,Ct,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,HP Shipyard Phase 1,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,54,54,0,100,0,0,0,0,0,0,0,0,0,,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.727321206,-122.368424805999,"(37.727321206, -122.368424805999)"
2016-096,(1) Preliminary Phase,"HPSY II-CP, Block 7",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,Candlestick Point,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,60,59,1,98,0,0,0,0,0,0,0,0,1,,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.716480014,-122.387275109999,"(37.716480014, -122.387275109999)"
2016-097,(1) Preliminary Phase,Transbay Block 12,,Address not yet assigned,,94105,Not Applicable,6,South of Market,Financial District/South Beach,OCII,Multifamily,Transbay,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,80,79,1,99,0,0,0,0,0,0,0,0,1,,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.784318751,-122.394725491999,"(37.784318751, -122.394725491999)"
2016-098,(1) Preliminary Phase,"HPSY II-CP, Block 2B",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,Candlestick Point,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,130,129,1,99,0,0,0,0,0,0,0,0,1,,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.715982657,-122.385119946999,"(37.715982657, -122.385119946999)"
2016-099,(1) Preliminary Phase,"HPSY II-CP, Block 6B",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,Candlestick Point,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,105,104,1,99,0,0,0,0,0,0,0,0,1,,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.712401027,-122.382458174999,"(37.712401027, -122.382458174999)"
2016-100,(1) Preliminary Phase,"HPSY II-CP, Block 4B",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,Candlestick Point,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,90,89,1,99,0,0,0,0,0,0,0,0,1,,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.72873834,-122.365893461999,"(37.72873834, -122.365893461999)"
2016-101,(1) Preliminary Phase,"HPSY II-CP, Block 5B",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,Candlestick Point,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,110,109,1,99,0,0,0,0,0,0,0,0,1,,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.718549363,-122.382850111999,"(37.718549363, -122.382850111999)"
2016-102,(1) Preliminary Phase,"HPSY II-SY, Block 4B",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,HP Shipyard Phase 2,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,130,129,1,99,0,0,0,0,0,0,0,0,1,,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.713106589,-122.381609268999,"(37.713106589, -122.381609268999)"
2016-103,(1) Preliminary Phase,"HPSY II-SY, Block 10A",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,HP Shipyard Phase 2,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,90,89,1,99,0,0,0,0,0,0,0,0,1,,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.730098598,-122.363259154999,"(37.730098598, -122.363259154999)"
2016-104,(1) Preliminary Phase,"HPSY II-SY, Block 8B",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,HP Shipyard Phase 2,New Construction,Unknown,,,,,,Developer not yet selected,,Developer not yet selected,,Not Applicable,,,,,,,135,134,1,99,0,0,0,0,0,0,0,0,1,,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.723341621,-122.368423331999,"(37.723341621, -122.368423331999)"
2016-120,(5) First Construction Document Issued,269-271 Richland,269,Richland ,Ave,94110,Not Applicable,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites,0,Rehabilitation,Rental,01/15/2018,,,01/15/2018,08/08/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,6,6,0,100,0,3,3,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37.736046066,-122.421132973999,"(37.736046066, -122.421132973999)"
2017-001,(3) Design with Entitlements Approved,3800 Mission,3800,Mission ,St,94110,Not Applicable,8,Bernal Heights,Bernal Heights,MOHCD,Small Sites,0,Rehabilitation,Rental,03/19/2018,,,03/19/2018,10/01/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,5,5,0,100,0,1,4,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,37.735848397,-122.424842751999,"(37.735848397, -122.424842751999)"
2017-002,(6) Complete,4042 Fulton,4042-4048,Fulton,St,94118,Not Applicable,1,Inner Richmond,Outer Richmond,MOHCD,Small Sites,0,Rehabilitation,Rental,09/18/2017,,,09/18/2017,01/23/2018,San Francisco Community Land Trust,,San Francisco Community Land Trust,,Not Applicable,,,,,,,5,5,0,100,0,0,1,1,3,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,37.773153314,-122.475399108999,"(37.773153314, -122.475399108999)"
2017-003,(6) Complete,1015 Shotwell,1015,Shotwell,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,09/13/2017,,,09/13/2017,04/10/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,10,10,0,100,0,2,7,1,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,37.751888608,-122.414794067999,"(37.751888608, -122.414794067999)"
2017-004,(6) Complete,63-67 Lapidge,63-67,Lapidge,St,94110,Not Applicable,8,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,02/01/2018,,,02/01/2018,06/15/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,6,6,0,100,0,0,6,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37.760664552,-122.422108857999,"(37.760664552, -122.422108857999)"
2017-005,(5) First Construction Document Issued,2217-2221 Mission,2217-2221,Mission ,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,07/18/2018,,,07/18/2018,01/15/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,8,8,0,100,0,0,7,1,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,37.761467104,-122.418968360999,"(37.761467104, -122.418968360999)"
2017-006,(3) Design with Entitlements Approved,35 Fair ,29-35,Fair,Ave,94110,Not Applicable,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites,0,Rehabilitation,Rental,05/28/2018,,,05/28/2018,12/15/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,4,4,0,100,0,0,4,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37.745530401,-122.419191109999,"(37.745530401, -122.419191109999)"
2017-013,(4) Site Work Permit Issued,1411 Florida Street,1411,Florida,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,01/25/2018,,,01/25/2018,09/29/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,6,6,0,100,0,0,0,6,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37.749213349,-122.409540453999,"(37.749213349, -122.409540453999)"
2017-014,(3) Design with Entitlements Approved,19 Precita,19-23,Precita,Ave,94110,Not Applicable,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites,0,Rehabilitation,Rental,05/28/2018,,,05/28/2018,12/15/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,3,3,0,100,0,0,0,0,3,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37.746966062,-122.418468155999,"(37.746966062, -122.418468155999)"
2017-022,(3) Design with Entitlements Approved,3353 26th,3353,26th,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,06/11/2018,,,06/11/2018,12/01/2018,Mission Economic Development Agency,,"MEDA Small Properties, LLC",,Not Applicable,,,,,,,10,10,0,100,0,3,6,1,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,37.748869485,-122.417163541999,"(37.748869485, -122.417163541999)"
2017-036,(2) Predevelopment Feasibility,Treasure Island C3.2 Maceo May Apartments,,Address not yet assigned,St,94130,Planning address not yet assigned,6,Treasure Island,Treasure Island,MOHCD,Multifamily,0,New Construction,Rental,,,,12/31/1899,,Chinatown Community Development Center,Swords to Plowshares,,,Not Yet Available,,,,,,,105,104,1,0,0,25,46,33,0,0,0,0,1,2bd,104,0,0,24,0,0,0,0,25,63,0,6,10,0,0,0,0,37.820959434,-122.372780387999,"(37.820959434, -122.372780387999)"
2017-037,(2) Predevelopment Feasibility,Treasure Island C3.1,,Address not yet assigned,,94130,Planning address not yet assigned,6,Treasure Island,Treasure Island,MOHCD,Multifamily,0,New Construction,Rental,,,,12/31/1899,,Mercy Housing California,,,,Not Yet Available,,,,,,,182,181,1,99,0,0,0,0,0,0,0,0,0,,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.821607128,-122.373194662999,"(37.821607128, -122.373194662999)"
2017-038,(2) Predevelopment Feasibility,"Octavia Blvd Parcels R, S and U",,Octavia ,Blvd,94102,Planning address not yet assigned,5,Buena Vista,Western Addition,MOHCD,Multifamily,0,New Construction,Rental,,,,12/31/1899,,Tenderloin Neighborhood Development Corporation,,,,Not Yet Available,,,,,,,88,87,1,0,0,29,22,30,6,0,0,0,1,studio,55,0,30,30,0,30,0,0,34,6,0,43,0,0,0,0,0,37.773990841,-122.423848595999,"(37.773990841, -122.423848595999)"
2017-039,(2) Predevelopment Feasibility,1068 Mission,1064-1068,Mission ,St,94103,Planning address not yet assigned,6,South of Market,South of Market,MOHCD,Multifamily,0,New Construction,Rental,,,,12/31/1899,,Mercy Housing California,Episcopal Community Services,,,Not Yet Available,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78049477,-122.410387203999,"(37.78049477, -122.410387203999)"
2017-040,(2) Predevelopment Feasibility,Francis Scott Key Annex,1351,42nd,Ave,94122,Not Applicable,4,Outer Sunset,Outer Sunset,MOHCD,Multifamily,0,New Construction,Rental,,,,12/31/1899,,Mid-Pen Housing ,,,,Not Applicable,,,,,,,101,100,1,0,0,0,25,49,26,0,0,0,1,2bd,100,0,0,0,0,0,0,0,0,20,0,20,20,0,20,20,0,37.761385507,-122.502232253999,"(37.761385507, -122.502232253999)"
2017-041,(2) Predevelopment Feasibility,Hayes Valley HOPE VI,401,Rose,St,94102,Not Applicable,5,Western Addition,Western Addition,MOHCD,Multifamily,0,Rehabilitation,Rental,,,,12/31/1899,,McCormack Baron Salazar,,,,Not Applicable,,,,,,,194,192,2,0,0,0,16,116,47,13,0,0,2,3bd,192,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,37.774177426,-122.428368349999,"(37.774177426, -122.428368349999)"
2017-042,(2) Predevelopment Feasibility,Bernal Dwellings HOPE VI,3138,Kamille ,Ct,94110,Not Applicable,9,Bernal Heights,Bernal Heights,MOHCD,Multifamily,0,Rehabilitation,Rental,,,,12/31/1899,,McCormack Baron Salazar,San Francisco Housing Development Corporation,,,Not Applicable,,,,,,,160,159,1,0,0,0,3,84,70,2,0,0,1,2bd,159,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,37.748848071,-122.412618992999,"(37.748848071, -122.412618992999)"
